time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,104.5,104.55,104.0,104.49,96174
2025-06-09T09:16:00+05:30,104.4,104.49,104.05,104.14,210596
2025-06-09T09:17:00+05:30,104.17,104.78,104.17,104.7,185993
2025-06-09T09:18:00+05:30,104.63,104.68,104.38,104.49,57869
2025-06-09T09:19:00+05:30,104.46,104.49,104.06,104.06,70471
2025-06-09T09:20:00+05:30,104.1,104.17,103.89,104.09,92227
2025-06-09T09:21:00+05:30,104.09,104.27,104.04,104.27,53947
2025-06-09T09:22:00+05:30,104.2,104.27,104.1,104.17,30108
2025-06-09T09:23:00+05:30,104.14,104.2,104.0,104.01,45046
2025-06-09T09:24:00+05:30,104.07,104.1,103.8,104.1,44913
2025-06-09T09:25:00+05:30,104.05,104.05,103.64,103.82,87145
2025-06-09T09:26:00+05:30,103.82,104.0,103.76,103.96,57134
2025-06-09T09:27:00+05:30,103.97,104.0,103.88,103.9,17099
2025-06-09T09:28:00+05:30,103.9,103.92,103.65,103.74,44487
2025-06-09T09:29:00+05:30,103.74,104.07,103.65,103.93,203196
2025-06-09T09:30:00+05:30,103.94,103.99,103.82,103.94,21023
2025-06-09T09:31:00+05:30,103.94,104.15,103.9,103.99,71428
2025-06-09T09:32:00+05:30,103.99,104.11,103.95,103.99,26514
2025-06-09T09:33:00+05:30,104.04,104.07,103.95,104.0,17061
2025-06-09T09:34:00+05:30,104.0,104.51,104.0,104.4,179359
2025-06-09T09:35:00+05:30,104.44,104.45,104.24,104.26,49139
2025-06-09T09:36:00+05:30,104.29,104.33,104.16,104.2,25182
2025-06-09T09:37:00+05:30,104.2,104.32,104.2,104.29,24971
2025-06-09T09:38:00+05:30,104.24,104.3,104.12,104.12,39332
2025-06-09T09:39:00+05:30,104.11,104.13,104.0,104.0,61062
2025-06-09T09:40:00+05:30,104.05,104.1,104.0,104.06,26957
2025-06-09T09:41:00+05:30,104.06,104.15,104.05,104.15,11778
2025-06-09T09:42:00+05:30,104.06,104.15,104.05,104.1,7339
2025-06-09T09:43:00+05:30,104.1,104.1,104.05,104.1,10428
2025-06-09T09:44:00+05:30,104.09,104.1,104.05,104.08,10779
2025-06-09T09:45:00+05:30,104.08,104.44,103.95,104.36,141531
2025-06-09T09:46:00+05:30,104.37,104.5,104.32,104.44,41810
2025-06-09T09:47:00+05:30,104.46,104.75,104.42,104.6,86448
2025-06-09T09:48:00+05:30,104.55,104.67,104.45,104.54,28101
2025-06-09T09:49:00+05:30,104.5,104.83,104.45,104.83,35398
2025-06-09T09:50:00+05:30,104.79,105.1,104.76,104.94,315256
2025-06-09T09:51:00+05:30,104.95,105.0,104.63,104.8,107574
2025-06-09T09:52:00+05:30,104.78,104.82,104.7,104.74,31621
2025-06-09T09:53:00+05:30,104.74,105.08,104.7,104.91,142689
2025-06-09T09:54:00+05:30,104.93,104.97,104.85,104.9,36690
2025-06-09T09:55:00+05:30,104.87,104.95,104.74,104.8,45873
2025-06-09T09:56:00+05:30,104.8,104.82,104.7,104.74,16436
2025-06-09T09:57:00+05:30,104.74,104.8,104.71,104.76,30313
2025-06-09T09:58:00+05:30,104.72,104.75,104.65,104.7,17491
2025-06-09T09:59:00+05:30,104.7,104.7,104.61,104.62,21033
2025-06-09T10:00:00+05:30,104.68,105.0,104.67,104.97,137636
2025-06-09T10:01:00+05:30,104.98,105.2,104.95,105.05,141489
2025-06-09T10:02:00+05:30,105.05,105.05,104.93,104.96,38759
2025-06-09T10:03:00+05:30,104.99,105.05,104.93,104.98,27823
2025-06-09T10:04:00+05:30,104.96,104.99,104.79,104.9,34761
2025-06-09T10:05:00+05:30,104.9,104.91,104.73,104.75,18219
2025-06-09T10:06:00+05:30,104.75,104.85,104.73,104.83,14520
2025-06-09T10:07:00+05:30,104.78,104.85,104.77,104.8,15287
2025-06-09T10:08:00+05:30,104.82,105.15,104.75,105.1,68236
2025-06-09T10:09:00+05:30,105.1,105.2,105.09,105.14,98082
2025-06-09T10:10:00+05:30,105.15,105.15,104.86,105.03,66567
2025-06-09T10:11:00+05:30,104.99,105.04,104.93,105.01,27368
2025-06-09T10:12:00+05:30,105.0,105.08,104.93,104.98,35529
2025-06-09T10:13:00+05:30,104.98,105.0,104.9,104.94,25626
2025-06-09T10:14:00+05:30,104.99,105.0,104.88,104.92,26036
2025-06-09T10:15:00+05:30,104.94,105.3,104.88,105.3,35251
2025-06-09T10:16:00+05:30,105.3,105.4,105.18,105.23,240405
2025-06-09T10:17:00+05:30,105.23,105.25,105.12,105.13,30401
2025-06-09T10:18:00+05:30,105.13,105.2,105.02,105.08,37007
2025-06-09T10:19:00+05:30,105.08,105.1,105.01,105.1,17066
2025-06-09T10:20:00+05:30,105.1,105.15,105.02,105.1,16378
2025-06-09T10:21:00+05:30,105.1,105.14,105.03,105.1,26882
