time,open,high,low,close,volume
2025-06-09T09:15:00+05:30,158.2,158.84,158.15,158.21,138737
2025-06-09T09:16:00+05:30,158.25,158.98,158.25,158.79,102725
2025-06-09T09:17:00+05:30,158.71,159.3,158.71,159.21,136274
2025-06-09T09:18:00+05:30,159.3,159.75,159.22,159.51,90424
2025-06-09T09:19:00+05:30,159.53,160.0,159.53,159.76,174151
2025-06-09T09:20:00+05:30,159.86,160.39,159.69,159.95,76998
2025-06-09T09:21:00+05:30,159.95,160.13,159.89,160.0,60140
2025-06-09T09:22:00+05:30,160.06,160.2,159.81,160.15,77331
2025-06-09T09:23:00+05:30,160.2,160.2,159.8,159.88,39480
2025-06-09T09:24:00+05:30,159.88,159.88,159.36,159.43,95316
2025-06-09T09:25:00+05:30,159.5,159.9,159.41,159.9,73652
2025-06-09T09:26:00+05:30,159.9,160.2,159.79,160.0,137212
2025-06-09T09:27:00+05:30,160.0,160.21,160.0,160.03,60705
2025-06-09T09:28:00+05:30,160.14,160.15,159.85,159.9,57497
2025-06-09T09:29:00+05:30,160.0,160.07,159.7,159.78,56446
2025-06-09T09:30:00+05:30,159.78,159.85,159.55,159.7,60652
2025-06-09T09:31:00+05:30,159.7,159.85,159.36,159.52,75127
2025-06-09T09:32:00+05:30,159.5,159.8,159.45,159.68,29120
2025-06-09T09:33:00+05:30,159.68,159.75,159.56,159.63,24804
2025-06-09T09:34:00+05:30,159.56,159.7,159.5,159.65,26468
2025-06-09T09:35:00+05:30,159.65,159.75,159.57,159.71,12830
2025-06-09T09:36:00+05:30,159.68,159.75,159.63,159.7,29340
2025-06-09T09:37:00+05:30,159.65,159.71,159.5,159.7,24685
2025-06-09T09:38:00+05:30,159.65,159.82,159.65,159.8,35361
2025-06-09T09:39:00+05:30,159.72,159.8,159.65,159.8,29738
2025-06-09T09:40:00+05:30,159.8,159.85,159.7,159.85,29433
2025-06-09T09:41:00+05:30,159.77,159.95,159.75,159.84,15744
2025-06-09T09:42:00+05:30,159.84,159.9,159.73,159.8,12559
2025-06-09T09:43:00+05:30,159.84,159.84,159.41,159.75,55946
2025-06-09T09:44:00+05:30,159.61,159.85,159.6,159.83,9278
2025-06-09T09:45:00+05:30,159.83,159.95,159.77,159.95,26848
2025-06-09T09:46:00+05:30,159.95,159.95,159.88,159.9,18211
2025-06-09T09:47:00+05:30,159.95,160.13,159.9,159.9,98482
2025-06-09T09:48:00+05:30,159.9,159.97,159.86,159.89,12126
2025-06-09T09:49:00+05:30,159.89,160.11,159.88,160.1,11961
2025-06-09T09:50:00+05:30,160.1,160.11,160.03,160.06,8796
2025-06-09T09:51:00+05:30,160.11,160.11,159.97,160.02,19479
2025-06-09T09:52:00+05:30,160.1,160.2,160.01,160.04,46605
2025-06-09T09:53:00+05:30,160.04,160.09,159.96,160.0,12521
2025-06-09T09:54:00+05:30,160.05,160.05,159.91,159.97,10752
2025-06-09T09:55:00+05:30,159.97,159.97,159.84,159.94,11640
2025-06-09T09:56:00+05:30,159.94,159.94,159.8,159.9,9017
2025-06-09T09:57:00+05:30,159.82,159.98,159.81,159.9,4719
2025-06-09T09:58:00+05:30,159.91,159.91,159.81,159.9,9337
2025-06-09T09:59:00+05:30,159.9,159.9,159.65,159.7,22282
2025-06-09T10:00:00+05:30,159.65,159.7,159.6,159.67,17640
2025-06-09T10:01:00+05:30,159.67,160.2,159.65,160.09,103459
2025-06-09T10:02:00+05:30,160.06,160.16,159.97,160.05,11959
2025-06-09T10:03:00+05:30,160.08,160.12,159.8,159.9,10259
2025-06-09T10:04:00+05:30,159.87,159.87,159.8,159.87,5595
2025-06-09T10:05:00+05:30,159.81,159.9,159.75,159.81,7104
2025-06-09T10:06:00+05:30,159.8,159.8,159.69,159.76,4155
2025-06-09T10:07:00+05:30,159.75,159.8,159.72,159.78,7498
2025-06-09T10:08:00+05:30,159.77,159.8,159.58,159.75,18170
2025-06-09T10:09:00+05:30,159.76,159.78,159.7,159.76,6350
2025-06-09T10:10:00+05:30,159.76,159.76,159.58,159.65,47469
2025-06-09T10:11:00+05:30,159.59,159.7,159.56,159.62,9751
2025-06-09T10:12:00+05:30,159.57,159.63,159.55,159.6,7329
2025-06-09T10:13:00+05:30,159.62,159.62,159.5,159.55,9942
