timestamp,open,high,low,close,volume
2025-07-18T09:15:00+05:30,87.8,87.84,87.25,87.34,127580
2025-07-18T09:16:00+05:30,87.34,87.39,87.3,87.34,55268
2025-07-18T09:17:00+05:30,87.32,87.51,87.31,87.45,28321
2025-07-18T09:18:00+05:30,87.49,87.64,87.48,87.54,36416
2025-07-18T09:19:00+05:30,87.55,87.64,87.51,87.6,68552
2025-07-18T09:20:00+05:30,87.63,87.71,87.6,87.71,38193
2025-07-18T09:21:00+05:30,87.71,87.73,87.64,87.71,12607
2025-07-18T09:22:00+05:30,87.7,87.83,87.65,87.78,70138
2025-07-18T09:23:00+05:30,87.78,87.83,87.75,87.81,12306
2025-07-18T09:24:00+05:30,87.8,87.82,87.75,87.8,24946
2025-07-18T09:25:00+05:30,87.75,87.79,87.66,87.75,31622
2025-07-18T09:26:00+05:30,87.75,87.78,87.68,87.71,58504
2025-07-18T09:27:00+05:30,87.71,87.75,87.64,87.67,24279
2025-07-18T09:28:00+05:30,87.67,87.72,87.65,87.71,9107
2025-07-18T09:29:00+05:30,87.69,87.7,87.61,87.66,15594
2025-07-18T09:30:00+05:30,87.62,87.68,87.61,87.66,41444
2025-07-18T09:31:00+05:30,87.65,87.8,87.65,87.73,31462
2025-07-18T09:32:00+05:30,87.77,87.78,87.72,87.73,14554
2025-07-18T09:33:00+05:30,87.77,87.77,87.72,87.74,9951
2025-07-18T09:34:00+05:30,87.75,87.77,87.7,87.7,11010
2025-07-18T09:35:00+05:30,87.72,87.72,87.62,87.67,22523
2025-07-18T09:36:00+05:30,87.68,87.68,87.61,87.64,6710
2025-07-18T09:37:00+05:30,87.61,87.66,87.61,87.62,14874
2025-07-18T09:38:00+05:30,87.62,87.64,87.54,87.58,22114
2025-07-18T09:39:00+05:30,87.58,87.62,87.54,87.61,45437
2025-07-18T09:40:00+05:30,87.6,87.6,87.56,87.57,10437
2025-07-18T09:41:00+05:30,87.56,87.64,87.56,87.63,17946
2025-07-18T09:42:00+05:30,87.62,87.69,87.58,87.58,64662
2025-07-18T09:43:00+05:30,87.58,87.59,87.55,87.56,8663
2025-07-18T09:44:00+05:30,87.55,87.56,87.36,87.44,103216
2025-07-18T09:45:00+05:30,87.42,87.48,87.35,87.35,12858
2025-07-18T09:46:00+05:30,87.38,87.4,87.36,87.36,6863
2025-07-18T09:47:00+05:30,87.36,87.39,87.35,87.39,4722
2025-07-18T09:48:00+05:30,87.39,87.4,87.35,87.35,18964
2025-07-18T09:49:00+05:30,87.35,87.41,87.35,87.4,14571
2025-07-18T09:50:00+05:30,87.41,87.41,87.38,87.38,8467
2025-07-18T09:51:00+05:30,87.4,87.4,87.38,87.38,3793
2025-07-18T09:52:00+05:30,87.38,87.4,87.38,87.4,2287
2025-07-18T09:53:00+05:30,87.4,87.4,87.35,87.39,9757
2025-07-18T09:54:00+05:30,87.36,87.39,87.35,87.36,4853
2025-07-18T09:55:00+05:30,87.38,87.38,87.35,87.35,18498
2025-07-18T09:56:00+05:30,87.36,87.4,87.35,87.36,5975
2025-07-18T09:57:00+05:30,87.35,87.36,87.32,87.32,13205
2025-07-18T09:58:00+05:30,87.33,87.35,87.31,87.31,9121
2025-07-18T09:59:00+05:30,87.31,87.44,87.31,87.4,23327
2025-07-18T10:00:00+05:30,87.4,87.41,87.33,87.33,13905
2025-07-18T10:01:00+05:30,87.37,87.37,87.31,87.33,21424
2025-07-18T10:02:00+05:30,87.32,87.32,87.2,87.23,42890
2025-07-18T10:03:00+05:30,87.23,87.35,87.2,87.32,11449
2025-07-18T10:04:00+05:30,87.34,87.34,87.28,87.32,6551
2025-07-18T10:05:00+05:30,87.31,87.31,87.26,87.26,2162
2025-07-18T10:06:00+05:30,87.26,87.3,87.1,87.11,36201
2025-07-18T10:07:00+05:30,87.1,87.15,87.05,87.06,20921
2025-07-18T10:08:00+05:30,87.06,87.1,87.01,87.01,54786
2025-07-18T10:09:00+05:30,87.04,87.05,86.91,86.98,146320
2025-07-18T10:10:00+05:30,86.98,86.98,86.91,86.98,19020
2025-07-18T10:11:00+05:30,86.97,87.04,86.94,87.0,24472
2025-07-18T10:12:00+05:30,87.03,87.05,86.81,86.85,63695
