timestamp,open,high,low,close,volume
2025-07-18T09:15:00+05:30,245.02,245.77,244.56,244.9,118448
2025-07-18T09:16:00+05:30,244.97,245.9,244.88,245.43,51435
2025-07-18T09:17:00+05:30,245.43,245.85,245.3,245.66,23280
2025-07-18T09:18:00+05:30,245.72,246.5,245.7,246.19,88359
2025-07-18T09:19:00+05:30,246.19,246.73,246.08,246.38,41826
2025-07-18T09:20:00+05:30,246.48,246.7,246.36,246.52,37179
2025-07-18T09:21:00+05:30,246.5,246.81,246.37,246.67,24431
2025-07-18T09:22:00+05:30,246.67,246.76,246.57,246.7,33111
2025-07-18T09:23:00+05:30,246.7,246.99,246.65,246.84,31524
2025-07-18T09:24:00+05:30,246.82,247.43,246.8,247.34,34027
2025-07-18T09:25:00+05:30,247.34,247.5,247.03,247.16,42448
2025-07-18T09:26:00+05:30,247.17,247.34,246.66,246.67,50682
2025-07-18T09:27:00+05:30,246.67,247.35,246.67,247.11,60172
2025-07-18T09:28:00+05:30,247.0,247.24,246.95,247.07,21681
2025-07-18T09:29:00+05:30,247.11,247.24,246.95,246.95,20057
2025-07-18T09:30:00+05:30,246.95,247.0,246.21,246.48,58239
2025-07-18T09:31:00+05:30,246.46,247.0,246.27,246.99,30272
2025-07-18T09:32:00+05:30,246.99,247.2,246.85,247.06,16595
2025-07-18T09:33:00+05:30,247.08,247.1,246.76,246.93,16773
2025-07-18T09:34:00+05:30,246.99,246.99,246.6,246.73,12346
2025-07-18T09:35:00+05:30,246.73,246.88,246.65,246.79,4426
2025-07-18T09:36:00+05:30,246.8,246.93,246.72,246.77,13262
2025-07-18T09:37:00+05:30,246.73,247.0,246.7,246.79,14377
2025-07-18T09:38:00+05:30,246.8,246.9,246.79,246.85,6622
2025-07-18T09:39:00+05:30,246.85,246.9,246.81,246.9,4850
2025-07-18T09:40:00+05:30,246.9,247.43,246.88,247.32,47623
2025-07-18T09:41:00+05:30,247.23,247.23,247.0,247.09,14281
2025-07-18T09:42:00+05:30,247.1,247.15,247.0,247.06,5269
2025-07-18T09:43:00+05:30,247.01,247.12,246.85,246.95,15319
2025-07-18T09:44:00+05:30,246.95,247.0,246.8,246.85,19923
2025-07-18T09:45:00+05:30,246.89,246.98,246.52,246.54,32718
2025-07-18T09:46:00+05:30,246.54,246.6,246.34,246.45,39614
2025-07-18T09:47:00+05:30,246.46,246.65,246.37,246.61,18046
2025-07-18T09:48:00+05:30,246.7,246.75,246.52,246.65,13271
2025-07-18T09:49:00+05:30,246.65,246.69,246.52,246.65,12476
2025-07-18T09:50:00+05:30,246.62,246.67,246.41,246.6,25652
2025-07-18T09:51:00+05:30,246.63,246.89,246.6,246.72,14013
2025-07-18T09:52:00+05:30,246.72,246.84,246.65,246.75,8468
2025-07-18T09:53:00+05:30,246.76,246.85,246.73,246.73,4430
2025-07-18T09:54:00+05:30,246.73,246.99,246.73,246.95,8487
2025-07-18T09:55:00+05:30,246.9,246.95,246.88,246.88,3157
2025-07-18T09:56:00+05:30,246.88,246.9,246.54,246.65,4167
2025-07-18T09:57:00+05:30,246.65,246.82,246.65,246.82,5668
2025-07-18T09:58:00+05:30,246.83,246.9,246.73,246.9,9398
2025-07-18T09:59:00+05:30,246.88,246.88,246.73,246.73,1350
2025-07-18T10:00:00+05:30,246.73,246.8,246.59,246.66,9794
2025-07-18T10:01:00+05:30,246.66,246.74,246.41,246.41,9632
2025-07-18T10:02:00+05:30,246.41,246.5,246.41,246.41,6097
2025-07-18T10:03:00+05:30,246.41,246.56,246.41,246.47,11579
2025-07-18T10:04:00+05:30,246.47,246.54,246.34,246.34,5780
2025-07-18T10:05:00+05:30,246.34,246.72,246.34,246.59,20424
2025-07-18T10:06:00+05:30,246.66,246.66,246.24,246.24,12301
2025-07-18T10:07:00+05:30,246.21,246.31,246.09,246.25,13756
2025-07-18T10:08:00+05:30,246.3,246.38,246.18,246.35,11215
2025-07-18T10:09:00+05:30,246.36,246.45,246.35,246.44,5657
2025-07-18T10:10:00+05:30,246.35,246.42,246.16,246.16,20833
2025-07-18T10:11:00+05:30,246.19,246.24,246.06,246.07,11628
2025-07-18T10:12:00+05:30,246.07,246.26,245.57,245.65,49182
2025-07-18T10:13:00+05:30,245.67,245.68,245.0,245.52,73379
2025-07-18T10:14:00+05:30,245.52,245.79,245.51,245.62,10750
2025-07-18T10:15:00+05:30,245.52,245.52,245.26,245.33,16335
2025-07-18T10:16:00+05:30,245.27,245.36,245.12,245.36,12502
2025-07-18T10:17:00+05:30,245.26,245.45,245.16,245.31,14716
2025-07-18T10:18:00+05:30,245.29,245.29,245.02,245.15,12682
