symbol,token
ADANIENSOL-EQ,10217
OFSS-EQ,10738
DIVISLAB-EQ,10940
MARUTI-EQ,10999
UPL-EQ,11287
UNIONBANK-EQ,10753
PETRONET-EQ,11351
TCS-EQ,11536
INDIGO-EQ,11195
ALKEM-EQ,11703
BHARTIARTL-EQ,10604
CANBK-EQ,10794
ULTRACEMCO-EQ,11532
COFORGE-EQ,11543
NTPC-EQ,11630
HDFCBANK-EQ,1333
SOLARINDS-EQ,13332
HINDPETRO-EQ,1406
POWERGRID-EQ,14977
IRB-EQ,15313
NMDC-EQ,15332
INFY-EQ,1594
BAJAJ-AUTO-EQ,16669
VBL-EQ,18921
KOTAKBANK-EQ,1922
MRF-EQ,2277
FEDERALBNK-EQ,1023
UNITDSPR-EQ,10447
IGL-EQ,11262
HINDZINC-EQ,1424
PFC-EQ,14299
AMBUJACEM-EQ,1270
INDHOTEL-EQ,1512
LTF-EQ,24948
HYUNDAI-EQ,25844
PIDILITIND-EQ,2664
BSE-EQ,19585
PRESTIGE-EQ,20302
ACC-EQ,22
PIIND-EQ,24184
OLAELEC-EQ,24777
ADANIENT-EQ,25
BAJAJHFL-EQ,25270
APLAPOLLO-EQ,25780
BIOCON-EQ,11373
JSWSTEEL-EQ,11723
IRCTC-EQ,13611
GRASIM-EQ,1232
IDEA-EQ,14366
PHOENIXLTD-EQ,14552
NHPC-EQ,17400
GODREJCP-EQ,10099
GODREJPROP-EQ,17875
PNB-EQ,10666
IDFCFIRSTB-EQ,11184
HEROMOTOCO-EQ,1348
YESBANK-EQ,11915
NAUKRI-EQ,13751
TORNTPOWER-EQ,13786
ASTRAL-EQ,14418
RECLTD-EQ,15355
MANKIND-EQ,15380
PATANJALI-EQ,17029
ADANIPOWER-EQ,17388
OIL-EQ,17438
JUBLFOOD-EQ,18096
PERSISTENT-EQ,18365
AUBANK-EQ,21238
MAXHEALTH-EQ,22377
BANDHANBNK-EQ,2263
TRENT-EQ,1964
DMART-EQ,19913
OBEROIRLTY-EQ,20242
MFSL-EQ,2142
MAHABANK-EQ,11377
ABB-EQ,13
MUTHOOTFIN-EQ,23650
LUPIN-EQ,10440
LT-EQ,11483
SUZLON-EQ,12018
ONGC-EQ,2475
GMRAIRPORT-EQ,13528
HINDALCO-EQ,1363
APOLLOHOSP-EQ,157
ITC-EQ,1660
SJVN-EQ,18883
CUMMINSIND-EQ,1901
M&M-EQ,2031
TATATECH-EQ,20293
WIPRO-EQ,3787
HDFCAMC-EQ,4244
ICICIBANK-EQ,4963
BRITANNIA-EQ,547
HUDCO-EQ,20825
NYKAA-EQ,6545
ICICIGI-EQ,21770
BOSCHLTD-EQ,2181
ABFRL-EQ,30108
BAJAJHLDNG-EQ,305
TIINDIA-EQ,312
TATAPOWER-EQ,3426
BHARATFORG-EQ,422
BHEL-EQ,438
BANKBARODA-EQ,4668
M&MFIN-EQ,13285
AXISBANK-EQ,5900
POLICYBZR-EQ,6656
JINDALSTEL-EQ,6733
ADANIPORTS-EQ,15083
COLPAL-EQ,15141
IOC-EQ,1624
SBICARD-EQ,17971
TVSMOTOR-EQ,8479
DRREDDY-EQ,881
RVNL-EQ,9552
DLF-EQ,14732
APOLLOTYRE-EQ,163
ICICIPRULI-EQ,18652
ABCAPITAL-EQ,21614
DIXON-EQ,21690
HAL-EQ,2303
ESCORTS-EQ,958
KPITTECH-EQ,9683
LICHSGFIN-EQ,1997
BDL-EQ,2144
ASIANPAINT-EQ,236
PREMIERENE-EQ,25049
SWIGGY-EQ,27066
NTPCGREEN-EQ,27176
SUPREMEIND-EQ,3363
TATACONSUM-EQ,3432
TATASTEEL-EQ,3499
TITAN-EQ,3506
SHRIRAMFIN-EQ,4306
MAZDOCK-EQ,509
BAJAJFINSV-EQ,16675
LTIM-EQ,17818
JSWENERGY-EQ,17869
NESTLEIND-EQ,17963
POLYCAB-EQ,9590
IREDA-EQ,20261
ASHOKLEY-EQ,212
COCHINSHIP-EQ,21508
BHARTIHEXA-EQ,23489
TECHM-EQ,13538
HINDUNILVR-EQ,1394
INDIANB-EQ,14309
PAGEIND-EQ,14413
MOTILALOFS-EQ,14947
VMM-EQ,27969
JIOFIN-EQ,18143
KALYANKJIL-EQ,2955
SHREECEM-EQ,3103
TATAMOTORS-EQ,3456
BEL-EQ,383
MPHASIS-EQ,4503
NATIONALUM-EQ,6364
IRFC-EQ,2029
COALINDIA-EQ,20374
SBILIFE-EQ,21808
LICI-EQ,9480
WAAREEENER-EQ,25907
AUROPHARMA-EQ,275
SRF-EQ,3273
TATAELXSI-EQ,3411
ADANIGREEN-EQ,3563
VOLTAS-EQ,3718
MOTHERSON-EQ,4204
GAIL-EQ,4717
ETERNAL-EQ,5097
ATGL-EQ,6066
EXIDEIND-EQ,676
CIPLA-EQ,694
MARICO-EQ,4067
INDUSINDBK-EQ,5258
GLENMARK-EQ,7406
SAIL-EQ,2963
SBIN-EQ,3045
VEDL-EQ,3063
SIEMENS-EQ,3150
TORNTPHARM-EQ,3518
BANKINDIA-EQ,4745
CONCOR-EQ,4749
BPCL-EQ,526
PAYTM-EQ,6705
CHOLAFIN-EQ,685
CGPOWER-EQ,760
BAJFINANCE-EQ,317
SUNPHARMA-EQ,3351
TATACOMM-EQ,3721
SONACOMS-EQ,4684
DABUR-EQ,772
EICHERMOT-EQ,910
HAVELLS-EQ,9819
RELIANCE-EQ,2885
INDUSTOWER-EQ,29135
LODHA-EQ,3220
HDFCLIFE-EQ,467
HCLTECH-EQ,7229
ZYDUSLIFE-EQ,7929
