token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
10685,GBPINR25829120.75CE,GBPINR,29AUG2025,1207500000.000000,1,OPTCUR,CDS,25000.000000
10717,EURUSD25JUL1.19PE,EURUSD,29JUL2025,11900000.000000,1,OPTCUR,CDS,1000.000000
10724,EURUSD25JUL1.2CE,EURUSD,29JUL2025,12000000.000000,1,OPTCUR,CDS,1000.000000
10734,EURUSD25JUL1.21PE,EURUSD,29JUL2025,12100000.000000,1,OPTCUR,CDS,1000.000000
10765,GBPINR26JUN119PE,GBPINR,26JUN2026,1190000000.000000,1,OPTCUR,CDS,25000.000000
10803,JPYINR2572555.5CE,JPYINR,25JUL2025,555000000.000000,1,OPTCUR,CDS,25000.000000
10813,JPYINR2572555.75PE,JPYINR,25JUL2025,557500000.000000,1,OPTCUR,CDS,25000.000000
10836,EURUSD25JUL1.24CE,EURUSD,29JUL2025,12400000.000000,1,OPTCUR,CDS,1000.000000
10871,JPYINR2572557.25PE,JPYINR,25JUL2025,572500000.000000,1,OPTCUR,CDS,25000.000000
10873,JPYINR2572557.5CE,JPYINR,25JUL2025,575000000.000000,1,OPTCUR,CDS,25000.000000
10878,JPYINR2582959.25PE,JPYINR,29AUG2025,592500000.000000,1,OPTCUR,CDS,25000.000000
10902,GBPINR25JUL108.75CE,GBPINR,29JUL2025,1087500000.000000,1,OPTCUR,CDS,25000.000000
10938,JPYINR2582960.5PE,JPYINR,29AUG2025,605000000.000000,1,OPTCUR,CDS,25000.000000
10947,JPYINR25SEP58.25CE,JPYINR,26SEP2025,582500000.000000,1,OPTCUR,CDS,25000.000000
10948,JPYINR25SEP58.25PE,JPYINR,26SEP2025,582500000.000000,1,OPTCUR,CDS,25000.000000
