token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
16185,USDJPY26MAR156.5PE,USDJPY,27MAR2026,1565000000.000000,1,OPTCUR,CDS,100000.000000
1622,EURINR25JUL92.5PE,EURINR,29JUL2025,925000000.000000,1,OPTCUR,CDS,25000.000000
16212,GBPINR25912117.25CE,GBPINR,12SEP2025,1172500000.000000,1,OPTCUR,CDS,25000.000000
16213,GBPINR25912117.25PE,GBPINR,12SEP2025,1172500000.000000,1,OPTCUR,CDS,25000.000000
16225,GBPINR25912118.25PE,GBPINR,12SEP2025,1182500000.000000,1,OPTCUR,CDS,25000.000000
1627,EURINR2581498.75PE,EURINR,14AUG2025,987500000.000000,1,OPTCUR,CDS,25000.000000
16228,GBPINR25912118.75CE,GBPINR,12SEP2025,1187500000.000000,1,OPTCUR,CDS,25000.000000
16256,USDJPY25JUL140.5CE,USDJPY,29JUL2025,1405000000.000000,1,OPTCUR,CDS,100000.000000
16280,USDJPY25JUL141.5CE,USDJPY,29JUL2025,1415000000.000000,1,OPTCUR,CDS,100000.000000
1629,EURINR2581499CE,EURINR,14AUG2025,990000000.000000,1,OPTCUR,CDS,25000.000000
1631,EURINR2591996.75PE,EURINR,19SEP2025,967500000.000000,1,OPTCUR,CDS,25000.000000
16306,USDJPY25JUL143CE,USDJPY,29JUL2025,1430000000.000000,1,OPTCUR,CDS,100000.000000
16313,GBPINR25912121.25PE,GBPINR,12SEP2025,1212500000.000000,1,OPTCUR,CDS,25000.000000
16321,741GS203625SEP109.5PE,741GS2036,25SEP2025,1095000000.000000,1,OPTIRC,CDS,25000.000000
16324,USDJPY25JUL144CE,USDJPY,29JUL2025,1440000000.000000,1,OPTCUR,CDS,100000.000000
16325,USDJPY25JUL144PE,USDJPY,29JUL2025,1440000000.000000,1,OPTCUR,CDS,100000.000000
16644,679GS203425JUL101.75PE,679GS2034,31JUL2025,1017500000.000000,1,OPTIRC,CDS,25000.000000
1667,EURINR25SEP104PE,EURINR,26SEP2025,1040000000.000000,1,OPTCUR,CDS,25000.000000
16646,679GS203425JUL102PE,679GS2034,31JUL2025,1020000000.000000,1,OPTIRC,CDS,25000.000000
16655,679GS203425JUL103.25CE,679GS2034,31JUL2025,1032500000.000000,1,OPTIRC,CDS,25000.000000
16657,679GS203425JUL103.5CE,679GS2034,31JUL2025,1035000000.000000,1,OPTIRC,CDS,25000.000000
16671,679GS203425JUL105.25CE,679GS2034,31JUL2025,1052500000.000000,1,OPTIRC,CDS,25000.000000
16676,679GS203425JUL105.75PE,679GS2034,31JUL2025,1057500000.000000,1,OPTIRC,CDS,25000.000000
16707,710GS203425JUL103.25CE,710GS2034,31JUL2025,1032500000.000000,1,OPTIRC,CDS,25000.000000
16719,710GS203425JUL104.75CE,710GS2034,31JUL2025,1047500000.000000,1,OPTIRC,CDS,25000.000000
16727,710GS203425JUL105.75CE,710GS2034,31JUL2025,1057500000.000000,1,OPTIRC,CDS,25000.000000
16730,710GS203425JUL106PE,710GS2034,31JUL2025,1060000000.000000,1,OPTIRC,CDS,25000.000000
16733,710GS203425JUL106.5CE,710GS2034,31JUL2025,1065000000.000000,1,OPTIRC,CDS,25000.000000
16734,710GS203425JUL106.5PE,710GS2034,31JUL2025,1065000000.000000,1,OPTIRC,CDS,25000.000000
16736,710GS203425JUL106.75PE,710GS2034,31JUL2025,1067500000.000000,1,OPTIRC,CDS,25000.000000
16738,710GS203425JUL107PE,710GS2034,31JUL2025,1070000000.000000,1,OPTIRC,CDS,25000.000000
16742,710GS203425JUL107.5PE,710GS2034,31JUL2025,1075000000.000000,1,OPTIRC,CDS,25000.000000
16768,718GS203325JUL103PE,718GS2033,31JUL2025,1030000000.000000,1,OPTIRC,CDS,25000.000000
16771,718GS203325JUL103.5CE,718GS2033,31JUL2025,1035000000.000000,1,OPTIRC,CDS,25000.000000
16774,718GS203325JUL103.75PE,718GS2033,31JUL2025,1037500000.000000,1,OPTIRC,CDS,25000.000000
16782,718GS203325JUL104.75PE,718GS2033,31JUL2025,1047500000.000000,1,OPTIRC,CDS,25000.000000
16783,718GS203325JUL105CE,718GS2033,31JUL2025,1050000000.000000,1,OPTIRC,CDS,25000.000000
16785,718GS203325JUL105.25CE,718GS2033,31JUL2025,1052500000.000000,1,OPTIRC,CDS,25000.000000
16791,718GS203325JUL106CE,718GS2033,31JUL2025,1060000000.000000,1,OPTIRC,CDS,25000.000000
16795,718GS203325JUL106.5CE,718GS2033,31JUL2025,1065000000.000000,1,OPTIRC,CDS,25000.000000
16797,718GS203325JUL106.75CE,718GS2033,31JUL2025,1067500000.000000,1,OPTIRC,CDS,25000.000000
16808,718GS203325JUL108PE,718GS2033,31JUL2025,1080000000.000000,1,OPTIRC,CDS,25000.000000
16832,718GS203725JUL103.5PE,718GS2037,31JUL2025,1035000000.000000,1,OPTIRC,CDS,25000.000000
16836,718GS203725JUL104PE,718GS2037,31JUL2025,1040000000.000000,1,OPTIRC,CDS,25000.000000
16839,718GS203725JUL104.5CE,718GS2037,31JUL2025,1045000000.000000,1,OPTIRC,CDS,25000.000000
16888,723GS203925JUL103.25PE,723GS2039,31JUL2025,1032500000.000000,1,OPTIRC,CDS,25000.000000
16892,723GS203925JUL103.75PE,723GS2039,31JUL2025,1037500000.000000,1,OPTIRC,CDS,25000.000000
16905,723GS203925JUL105.5CE,723GS2039,31JUL2025,1055000000.000000,1,OPTIRC,CDS,25000.000000
16912,723GS203925JUL106.25PE,723GS2039,31JUL2025,1062500000.000000,1,OPTIRC,CDS,25000.000000
1697,USDJPY25DEC142.5PE,USDJPY,29DEC2025,1425000000.000000,1,OPTCUR,CDS,100000.000000
16928,723GS203925JUL108.25PE,723GS2039,31JUL2025,1082500000.000000,1,OPTIRC,CDS,25000.000000
16968,741GS203625JUL105.75PE,741GS2036,31JUL2025,1057500000.000000,1,OPTIRC,CDS,25000.000000
16979,741GS203625JUL107.25CE,741GS2036,31JUL2025,1072500000.000000,1,OPTIRC,CDS,25000.000000
1699,EURINR2591998.75CE,EURINR,19SEP2025,987500000.000000,1,OPTCUR,CDS,25000.000000
1700,EURINR2591998.75PE,EURINR,19SEP2025,987500000.000000,1,OPTCUR,CDS,25000.000000
16999,741GS203625JUL109.75CE,741GS2036,31JUL2025,1097500000.000000,1,OPTIRC,CDS,25000.000000
17008,741GS203625JUL110.75PE,741GS2036,31JUL2025,1107500000.000000,1,OPTIRC,CDS,25000.000000
17017,GBPINR25SEP118PE,GBPINR,26SEP2025,1180000000.000000,1,OPTCUR,CDS,25000.000000
17033,USDJPY25JUL146CE,USDJPY,29JUL2025,1460000000.000000,1,OPTCUR,CDS,100000.000000
17034,USDJPY25JUL146PE,USDJPY,29JUL2025,1460000000.000000,1,OPTCUR,CDS,100000.000000
17036,USDJPY25JUL146.5PE,USDJPY,29JUL2025,1465000000.000000,1,OPTCUR,CDS,100000.000000
10,R-GOI6.68%2031,R668GS2031,,-1.000000,1,UNDIRC,CDS,25000.000000
10011,EURINR25AUG102.25CE,EURINR,26AUG2025,1022500000.000000,1,OPTCUR,CDS,25000.000000
10035,JPYINR25SEP55.5CE,JPYINR,26SEP2025,555000000.000000,1,OPTCUR,CDS,25000.000000
10053,JPYINR2590457.25CE,JPYINR,04SEP2025,572500000.000000,1,OPTCUR,CDS,25000.000000
10055,JPYINR2590457.25PE,JPYINR,04SEP2025,572500000.000000,1,OPTCUR,CDS,25000.000000
10071,GBPINR25829112CE,GBPINR,29AUG2025,1120000000.000000,1,OPTCUR,CDS,25000.000000
10074,741GS203625AUG106.25CE,741GS2036,28AUG2025,1062500000.000000,1,OPTIRC,CDS,25000.000000
10112,JPYINR2572554.25CE,JPYINR,25JUL2025,542500000.000000,1,OPTCUR,CDS,25000.000000
10132,JPYINR2590458.75PE,JPYINR,04SEP2025,587500000.000000,1,OPTCUR,CDS,25000.000000
10136,JPYINR2590459.25PE,JPYINR,04SEP2025,592500000.000000,1,OPTCUR,CDS,25000.000000
10145,JPYINR2590460.5CE,JPYINR,04SEP2025,605000000.000000,1,OPTCUR,CDS,25000.000000
10150,JPYINR2590461PE,JPYINR,04SEP2025,610000000.000000,1,OPTCUR,CDS,25000.000000
10161,JPYINR2590462.5CE,JPYINR,04SEP2025,625000000.000000,1,OPTCUR,CDS,25000.000000
10211,USDINR2572587.375CE,USDINR,25JUL2025,873750000.000000,1,OPTCUR,CDS,25000.000000
10252,679GS203426MAR100.5PE,679GS2034,26MAR2026,1005000000.000000,1,OPTIRC,CDS,25000.000000
10269,679GS203426MAR102.75CE,679GS2034,26MAR2026,1027500000.000000,1,OPTIRC,CDS,25000.000000
