token,symbol
1073,FOSECOIND-EQ
10733,SPORTKING-EQ
10761,SILVERADD-EQ
10768,OAL-EQ
13745,GTLINFRA-EQ
13791,PARSVNATH-EQ
13796,MANALIPETC-EQ
10925,GODREJIND-EQ
13890,HIRECT-EQ
10990,RADICO-EQ
13941,PRAENG-EQ
11149,SHRENIK-EQ
11165,COFFEEDAY-EQ
11212,SHK-EQ
13966,HBLENGINE-EQ
11236,JSL-EQ
11241,HDFCGROWTH-EQ
11262,IGL-EQ
13987,ABSLBANETF-EQ
14008,AVTNPL-EQ
11271,DREDGECORP-EQ
11275,TVTODAY-EQ
11374,TIPSFILMS-EQ
11394,ZOTA-EQ
14106,AUTOIND-EQ
14134,PITTIENG-EQ
11435,SPANDANA-EQ
11471,EXCELINDUS-EQ
1153,GLAXO-EQ
1424,HINDZINC-EQ
14230,HDFCBSE500-EQ
14245,TVSSRICHAK-EQ
14299,PFC-EQ
11667,DWARKESH-EQ
11677,INDOCO-EQ
14385,POCL-EQ
14435,JKTYRE-EQ
11778,GOKEX-EQ
11779,ACEINTEG-EQ
11794,SAKSOFT-EQ
11796,HPIL-EQ
11813,SHOPERSTOP-EQ
11856,SHAHALLOYS-EQ
1196,KANSAINER-EQ
11895,DCXINDIA-EQ
11956,MEDANTA-EQ
1467,AKZOINDIA-EQ
14672,NAVINFLUOR-EQ
11961,SEMAC-EQ
14813,ADSL-EQ
12101,HDFCNIFIT-EQ
12153,BBTCL-EQ
14848,ALPA-EQ
1235,GREAVESCOT-EQ
14982,CENTUM-EQ
15085,SILVERETF-EQ
12603,PRECAM-EQ
1270,AMBUJACEM-EQ
1512,INDHOTEL-EQ
12686,MBAPL-EQ
12749,DJML-EQ
15199,MANAKSIA-EQ
128,ROUTE-EQ
15239,BIRLAMONEY-EQ
12978,NPBET-EQ
13057,UNIPARTS-EQ
1530,INDIANHUME-EQ
13198,COMMOIETF-EQ
15337,RAIN-EQ
15377,PDMJEPAPER-EQ
15391,RACE-EQ
15414,TITAGARH-EQ
15420,ACL-EQ
1565,RVHL-EQ
15589,AVG-EQ
1630,IONEXCHANG-EQ
16589,VAISHALI-EQ
16696,GHCLTEXTIL-EQ
16921,20MICRONS-EQ
17145,AARTECH-EQ
17197,PAKKA-EQ
17207,ITETFADD-EQ
17395,SETF10GILT-EQ
17475,NV20IETF-EQ
17625,MOLDTECH-EQ
17801,LLOYDSENGG-EQ
17833,AHLUCONT-EQ
17839,GILLANDERS-EQ
17881,DBCORP-EQ
18026,SBFC-EQ
18029,MBLINFRA-EQ
18131,YASHO-EQ
1841,KCP-EQ
18520,CUPID-EQ
18566,RRKABEL-EQ
18614,SAMHI-EQ
18755,KALAMANDIR-EQ
19015,MVGJL-EQ
19020,JSWINFRA-EQ
19142,UMESLTD-EQ
19224,SENSEXETF-EQ
2442,NOCIL-EQ
24445,AGIIL-EQ
24532,FILATEX-EQ
24582,SANSTAR-EQ
24735,RPEL-EQ
24781,BSLNIFTY-EQ
24948,LTF-EQ
2513,BCLIND-EQ
25235,XTGLOBAL-EQ
25262,TOLINS-EQ
25426,NORTHARC-EQ
25482,TIJARIA-EQ
25597,MANBA-EQ
25672,DIFFNKG-EQ
25725,BANKPSU-EQ
25737,SRD-EQ
25844,HYUNDAI-EQ
25855,AFFORDABLE-EQ
25897,MINDACORP-EQ
25977,AFCONS-EQ
2664,PIDILITIND-EQ
27052,SAGILITY-EQ
2716,BUTTERFLY-EQ
19234,LAURUSLABS-EQ
19235,IMFA-EQ
19265,BLISSGVS-EQ
19289,MOM50-EQ
19401,BOROLTD-EQ
19585,BSE-EQ
19731,GPPL-EQ
19761,ADFFOODS-EQ
20086,CPCAP-EQ
20092,TASTYBITE-EQ
20152,ASKAUTOLTD-EQ
20203,URJA-EQ
20302,PRESTIGE-EQ
20372,FLAIR-EQ
20607,INOXINDIA-EQ
20698,SCHAND-EQ
2085,MAHSCOOTER-EQ
20854,HAPPYFORGE-EQ
20936,KIRLOSENG-EQ
21001,PSB-EQ
21195,GTPL-EQ
21623,APEX-EQ
22,ACC-EQ
22595,HDFCPSUBK-EQ
22846,GPTHEALTH-EQ
23066,GOPAL-EQ
2316,HEIDELBERG-EQ
23142,PVSL-EQ
23181,MOSMALL250-EQ
23407,LIQUIDADD-EQ
23447,181NSETEST-EQ
23480,SINCLAIR-EQ
23512,TARACHAND-EQ
23647,FILATFASH-EQ
23740,TBOTEK-EQ
23864,AWFIS-EQ
10074,EMAMIPAP-EQ
24184,PIIND-EQ
24231,OMINFRAL-EQ
1030,AARON-EQ
10243,SYNGENE-EQ
24378,RELIABLE-EQ
10310,AURUM-EQ
10346,DGCONTENT-EQ
10415,MUTHOOTCAP-EQ
10417,DYCL-EQ
10473,POWERMECH-EQ
10511,UTINIFTETF-EQ
10588,SHREEPUSHK-EQ
2472,OILCOUNTUB-EQ
10822,MOQUALITY-EQ
24777,OLAELEC-EQ
25,ADANIENT-EQ
24961,ORIENTTECH-EQ
25134,GALAPREC-EQ
25270,BAJAJHFL-EQ
255,NIRAJ-EQ
25684,JISLDVREQS-EQ
25780,APLAPOLLO-EQ
25786,KANANIIND-EQ
25800,GARUDA-EQ
2636,DIVOPPBEES-EQ
2649,PCBL-EQ
1100,GARFIBRES-EQ
2709,MTARTECH-EQ
11037,BANKIETF-EQ
11082,LIBAS-EQ
11220,VARDHACRLC-EQ
27144,BLACKBUCK-EQ
11255,HDFCQUAL-EQ
2717,PRECWIRE-EQ
11301,LUXIND-EQ
1134,APOLLO-EQ
11343,AFFLE-EQ
11355,PTC-EQ
11359,DHANBANK-EQ
11369,TTKHLTCARE-EQ
11373,BIOCON-EQ
11457,NV20-EQ
11511,CENTEXT-EQ
1336,HEG-EQ
11530,EMIL-EQ
11549,TEXINFRA-EQ
11705,XCHANGING-EQ
11723,JSWSTEEL-EQ
11731,CONSOFINVT-EQ
13451,RATNAMANI-EQ
13536,VIDHIING-EQ
11872,GRANULES-EQ
13585,ATLANTAA-EQ
13611,IRCTC-EQ
11896,GEOJITFSL-EQ
11905,GENUSPOWER-EQ
11932,FUSION-EQ
13710,FIEMIND-EQ
13720,JHS-EQ
11943,MCLEODRUSS-EQ
12092,KAYNES-EQ
12124,DOLATALGO-EQ
13870,KUANTUM-EQ
13875,JINDRILL-EQ
1232,GRASIM-EQ
1403,HINDOILEXP-EQ
14174,IZMO-EQ
14194,NINSYS-EQ
12842,G1NSETEST-EQ
14286,GOLDETF-EQ
14304,FSL-EQ
14329,SMSPHARMA-EQ
13081,TRIVENI-EQ
14334,HSCL-EQ
14366,IDEA-EQ
14480,GOKULAGRO-EQ
14552,PHOENIXLTD-EQ
1465,ACCURACY-EQ
14755,041NSETEST-EQ
14778,131NSETEST-EQ
14871,USK-EQ
14894,CENTRALBK-EQ
14957,MAGNUM-EQ
1515,INDIACEM-EQ
15119,EDELWEISS-EQ
15157,RHL-EQ
15308,SEPC-EQ
15356,GOLDETFADD-EQ
15362,VGUARD-EQ
15384,DHANI-EQ
1581,TARC-EQ
16192,PAVNAIND-EQ
1663,SUNDROP-EQ
16913,ARTEMISMED-EQ
17152,MIDCAPIETF-EQ
17186,SHRIPISTON-EQ
17187,CYIENTDLM-EQ
1726,JBCHEPHARM-EQ
17397,PREMEXPLN-EQ
17400,NHPC-EQ
17419,BANKETF-EQ
1011,SCHAEFFLER-EQ
10099,GODREJCP-EQ
17572,LIQUID-EQ
10176,SETFNIF50-EQ
10181,BALKRISHNA-EQ
17616,PSUBANKADD-EQ
17704,QUESS-EQ
17875,GODREJPROP-EQ
17945,COHANCE-EQ
18139,DOLPHIN-EQ
18142,EMMBI-EQ
18214,TEXMOPIPES-EQ
18284,HNGSNGBEES-EQ
10580,TCI-EQ
10585,MOM30IETF-EQ
18371,NDGL-EQ
184,TCPLPACK-EQ
1838,KARURVYSYA-EQ
10599,GUJGASLTD-EQ
10619,HDFCNEXT50-EQ
10633,HDFCNIF100-EQ
18391,RBLBANK-EQ
10666,PNB-EQ
10791,NUCLEUS-EQ
10905,GENESYS-EQ
10932,RADAAN-EQ
10945,TMB-EQ
18564,LTTS-EQ
18581,KIRLOSBROS-EQ
18593,EMSLIMITED-EQ
11050,SIRCA-EQ
11184,IDFCFIRSTB-EQ
18659,MARATHON-EQ
11226,BAGFILMS-EQ
18760,YATRA-EQ
18783,IDFNIFTYET-EQ
11399,SALZERELEC-EQ
11407,XPROINDIA-EQ
11441,LICNETFSEN-EQ
18967,KAPSTON-EQ
11566,DCI-EQ
11606,GUFICBIO-EQ
19205,HEADSUP-EQ
11618,ASTRAMICRO-EQ
11634,SALSTEEL-EQ
13359,KFINTECH-EQ
19218,VALIANTLAB-EQ
1348,HEROMOTOCO-EQ
13441,BALPHARMA-EQ
11787,GOYALALUM-EQ
11804,SUKHJITS-EQ
11829,SSWL-EQ
11840,NH-EQ
11852,SURYALAXMI-EQ
11915,YESBANK-EQ
13511,MUNJALAU-EQ
13631,SKYGOLD-EQ
13637,JMFINANCIL-EQ
13688,ACLGATI-EQ
13725,DCBBANK-EQ
13751,NAUKRI-EQ
13786,TORNTPOWER-EQ
13839,DONEAR-EQ
1315,GALAXYSURF-EQ
13982,JASH-EQ
13162,CELEBRITY-EQ
14154,UNOMINDA-EQ
14339,GANESHHOUC-EQ
14418,ASTRAL-EQ
14423,LAOPALA-EQ
14440,NAHARSPING-EQ
14511,BANSWRAS-EQ
14547,NDLVENTURE-EQ
14687,GOACARBON-EQ
14742,AXSENSEX-EQ
14747,011NSETEST-EQ
14762,061NSETEST-EQ
14781,141NSETEST-EQ
14786,LOWVOL-EQ
14858,GOLD1-EQ
1491,IFCI-EQ
14900,SAHYADRI-EQ
14952,INDOWIND-EQ
15034,BAJAJELEC-EQ
15073,BVCL-EQ
15124,KOLTEPATIL-EQ
15156,KALYANIFRG-EQ
15278,ONMOBILE-EQ
15303,BANG-EQ
15330,QGOLDHALF-EQ
15355,RECLTD-EQ
15380,MANKIND-EQ
15555,HCG-EQ
1576,GILLETTE-EQ
1597,INGERRAND-EQ
16683,DIGISPICE-EQ
16859,SINDHUTRAD-EQ
16908,TOUCHWOOD-EQ
16927,JOCIL-EQ
1708,JAYBARMARU-EQ
17029,PATANJALI-EQ
17044,SHARIABEES-EQ
17094,CROMPTON-EQ
17357,GKWLIMITED-EQ
17388,ADANIPOWER-EQ
17438,OIL-EQ
17477,CONTROLPR-EQ
17576,PVTBANKADD-EQ
17613,SENSEXADD-EQ
17742,BAFNAPH-EQ
17747,NIITMTS-EQ
17851,DLINKINDIA-EQ
17859,REDTAPE-EQ
17903,ABBOTINDIA-EQ
17987,TRF-EQ
1808,KAJARIACER-EQ
