symbol,timestamp,price,signal,target,stoploss,exit_price,exit_time,outcome,pnl
MUTHOOTFIN-EQ,2025-06-30 13:41:00+05:30,2631.0,BUY,2657.31,2604.69,2604.69,2025-07-01 10:24:00+05:30,STOPLOSS,-26.31
OBEROIRLTY-EQ,2025-06-17 10:09:00+05:30,1943.2,BUY,1962.63,1923.77,1923.77,2025-06-17 12:49:00+05:30,STOPLOSS,-19.43
OIL-EQ,2025-06-24 09:23:00+05:30,457.3,BUY,461.87,452.73,452.73,2025-06-24 09:45:00+05:30,STOPLOSS,-4.57
PERSISTENT-EQ,2025-06-18 12:39:00+05:30,6026.0,BUY,6086.26,5965.74,5965.74,2025-06-19 09:56:00+05:30,STOPLOSS,-60.26
PERSISTENT-EQ,2025-07-08 11:53:00+05:30,5820.5,BUY,5878.7,5762.3,5878.7,2025-07-08 12:46:00+05:30,TARGET,58.2
POLICYBZR-EQ,2025-06-17 09:58:00+05:30,1944.9,BUY,1964.35,1925.45,1964.35,2025-06-17 10:30:00+05:30,TARGET,19.45
POLICYBZR-EQ,2025-06-18 10:29:00+05:30,1906.2,BUY,1925.26,1887.14,1887.14,2025-06-18 11:24:00+05:30,STOPLOSS,-19.06
POLYCAB-EQ,2025-06-30 12:00:00+05:30,6519.5,BUY,6584.7,6454.3,6584.7,2025-07-01 09:15:00+05:30,TARGET,65.2
PRESTIGE-EQ,2025-06-23 14:43:00+05:30,1717.5,BUY,1734.68,1700.32,1734.68,2025-06-24 09:15:00+05:30,TARGET,17.18
RECLTD-EQ,2025-06-12 09:50:00+05:30,414.65,BUY,418.8,410.5,410.5,2025-06-12 11:58:00+05:30,STOPLOSS,-4.15
RVNL-EQ,2025-06-18 11:35:00+05:30,397.35,BUY,401.32,393.38,393.38,2025-06-19 10:19:00+05:30,STOPLOSS,-3.97
RVNL-EQ,2025-06-26 09:54:00+05:30,400.8,BUY,404.81,396.79,404.81,2025-06-27 09:21:00+05:30,TARGET,4.01
SBILIFE-EQ,2025-06-27 14:58:00+05:30,1856.5,BUY,1875.06,1837.94,1837.94,2025-06-30 09:15:00+05:30,STOPLOSS,-18.56
SUPREMEIND-EQ,2025-06-20 09:26:00+05:30,4409.2,BUY,4453.29,4365.11,4453.29,2025-06-20 11:24:00+05:30,TARGET,44.09
TECHM-EQ,2025-07-03 13:08:00+05:30,1674.2,BUY,1690.94,1657.46,1657.46,2025-07-04 09:15:00+05:30,STOPLOSS,-16.74
TIINDIA-EQ,2025-06-30 10:48:00+05:30,3087.9,BUY,3118.78,3057.02,3118.78,2025-06-30 11:48:00+05:30,TARGET,30.88
TRENT-EQ,2025-06-18 11:37:00+05:30,5721.5,BUY,5778.72,5664.28,5778.72,2025-06-19 09:15:00+05:30,TARGET,57.22
TRENT-EQ,2025-06-24 14:08:00+05:30,6065.0,BUY,6125.65,6004.35,6125.65,2025-06-25 09:16:00+05:30,TARGET,60.65
TVSMOTOR-EQ,2025-06-24 14:10:00+05:30,2837.4,BUY,2865.77,2809.03,2865.77,2025-06-25 09:20:00+05:30,TARGET,28.37
VMM-EQ,2025-06-17 09:20:00+05:30,116.88,BUY,118.05,115.71,118.05,2025-06-17 09:23:00+05:30,TARGET,1.17
ZYDUSLIFE-EQ,2025-07-03 09:26:00+05:30,991.4,BUY,1001.31,981.49,1001.31,2025-07-03 15:21:00+05:30,TARGET,9.91
