type,entry_date,exit_date,entry_price,exit_price,pnl,percent
BUY,2015-01-09 10:47:00,2015-01-09 12:05:00,8281.05,8198.2395,-82.81049999999959,-1.0
SELL,2015-01-09 11:02:00,2015-01-09 12:05:00,8284.95,8202.1005,82.84950000000026,1.0
BUY,2015-01-09 11:21:00,2015-01-09 12:05:00,8279.25,8196.4575,-82.79249999999956,-1.0
BUY,2015-01-09 11:27:00,2015-01-09 15:15:00,8266.95,8285.45,18.5,0.2237826526106968
BUY,2015-01-09 12:07:00,2015-01-09 15:15:00,8216.6,8285.45,68.85000000000036,0.8379378331670079
BUY,2015-01-09 12:41:00,2015-01-09 15:10:00,8208.2,8290.282000000001,82.08200000000033,1.0
BUY,2015-01-09 13:20:00,2015-01-09 15:15:00,8240.3,8285.45,45.150000000001455,0.5479169447714459
BUY,2015-01-09 14:00:00,2015-01-09 15:10:00,8209.95,8292.049500000001,82.09950000000026,1.0
SELL,2015-01-09 14:56:00,2015-01-09 15:15:00,8270.15,8285.45,-15.300000000001091,-0.1850026903986154
SELL,2015-01-09 15:14:00,2015-01-09 15:15:00,8285.7,8285.45,0.25,0.003017246581459623
BUY,2015-01-12 09:18:00,2015-01-12 15:15:00,8262.4,8320.6,58.20000000000073,0.704395817195981
BUY,2015-01-12 09:19:00,2015-01-12 15:15:00,8267.6,8320.6,53.0,0.6410566548938023
SELL,2015-01-12 10:03:00,2015-01-12 15:15:00,8281.9,8320.6,-38.70000000000073,-0.4672840773252603
BUY,2015-01-12 10:42:00,2015-01-12 15:15:00,8284.8,8320.6,35.80000000000109,0.432116647354204
BUY,2015-01-12 10:57:00,2015-01-12 15:15:00,8285.55,8320.6,35.05000000000109,0.4230256289564494
BUY,2015-01-12 12:13:00,2015-01-12 15:15:00,8268.7,8320.6,51.899999999999636,0.6276681945166668
SELL,2015-01-12 12:53:00,2015-01-12 15:15:00,8266.95,8320.6,-53.649999999999636,-0.6489696925710162
SELL,2015-01-12 13:16:00,2015-01-12 15:15:00,8271.3,8320.6,-49.30000000000109,-0.5960368986737405
SELL,2015-01-12 13:39:00,2015-01-12 15:15:00,8277.45,8320.6,-43.149999999999636,-0.5212958096998428
SELL,2015-01-12 14:08:00,2015-01-12 15:15:00,8290.25,8320.6,-30.350000000000364,-0.3660926992551535
SELL,2015-01-12 14:09:00,2015-01-12 15:15:00,8289.75,8320.6,-30.850000000000364,-0.37214632528122515
BUY,2015-01-12 14:53:00,2015-01-12 15:15:00,8302.3,8320.6,18.30000000000109,0.22042084723511668
SELL,2015-01-12 15:08:00,2015-01-12 15:15:00,8318.6,8320.6,-2.0,-0.024042507152645876
SELL,2015-01-13 09:18:00,2015-01-13 15:15:00,8341.95,8303.2,38.75,0.4645196866440101
SELL,2015-01-13 09:19:00,2015-01-13 15:15:00,8340.8,8303.2,37.599999999998545,0.45079608670629373
BUY,2015-01-13 10:23:00,2015-01-13 15:15:00,8334.6,8303.2,-31.399999999999636,-0.37674273510425976
SELL,2015-01-13 10:34:00,2015-01-13 15:15:00,8337.65,8303.2,34.44999999999891,0.41318596966769905
BUY,2015-01-13 11:01:00,2015-01-13 15:15:00,8338.5,8303.2,-35.29999999999927,-0.4233375307309381
BUY,2015-01-13 11:02:00,2015-01-13 15:15:00,8339.75,8303.2,-36.54999999999927,-0.43826253784585
BUY,2015-01-13 11:07:00,2015-01-13 15:15:00,8339.9,8303.2,-36.69999999999891,-0.44005323804840474
SELL,2015-01-13 11:44:00,2015-01-13 15:15:00,8333.25,8303.2,30.049999999999272,0.3606036060360516
BUY,2015-01-13 14:36:00,2015-01-13 15:15:00,8305.35,8303.2,-2.149999999999636,-0.025886928305244646
SELL,2015-01-14 09:19:00,2015-01-14 15:15:00,8304.85,8270.2,34.649999999999636,0.41722607873711903
BUY,2015-01-14 09:24:00,2015-01-14 15:15:00,8305.35,8270.2,-35.149999999999636,-0.4232211767113925
BUY,2015-01-14 10:20:00,2015-01-14 15:15:00,8295.05,8270.2,-24.849999999998545,-0.29957625330767806
SELL,2015-01-14 13:19:00,2015-01-14 15:15:00,8257.85,8270.2,-12.350000000000364,-0.14955466616613725
BUY,2015-01-14 13:36:00,2015-01-14 15:15:00,8251.25,8270.2,18.950000000000728,0.22966217239813033
SELL,2015-01-15 09:17:00,2015-01-15 12:41:00,8386.25,8470.1125,-83.86249999999927,-1.0
BUY,2015-01-15 10:46:00,2015-01-15 14:10:00,8407.1,8491.171,84.07099999999991,1.0
