symbol,token
ASPINWALL-EQ,17270
SALONA-EQ,17351
GKWLIMITED-EQ,17357
ADANIPOWER-EQ,17388
NETWEB-EQ,17433
RTNPOWER-EQ,17520
YATHARTH-EQ,17738
KAJARIACER-EQ,1808
SRGHFL-EQ,18119
YASHO-EQ,18131
DOLPHIN-EQ,18139
AEROFLEX-EQ,18268
IVZINGOLD-EQ,18292
TCPLPACK-EQ,184
KCP-EQ,1841
BIGBLOC-EQ,18431
CARYSIL-EQ,1879
ENDURANCE-EQ,18822
IMFA-EQ,19235
ROSSARI-EQ,19410
GOLDIETF-EQ,19679
JITFINFRA-EQ,19691
DMART-EQ,19913
IRFC-EQ,2029
IREDA-EQ,20261
PRESTIGE-EQ,20302
EMAMIPAP-EQ,10074
ADANIENSOL-EQ,10217
FINCABLES-EQ,1038
SADBHIN-EQ,10618
OLECTRA-EQ,10637
PNB-EQ,10666
HARSHA-EQ,11162
POONAWALLA-EQ,11403
XPROINDIA-EQ,11407
EXCELINDUS-EQ,11471
AMBICAAGAR-EQ,11496
TCS-EQ,11536
WESTLIFE-EQ,11580
INDSWFTLTD-EQ,11602
KOTARISUG-EQ,11647
LALPATHLAB-EQ,11654
JBMA-EQ,11655
JPPOWER-EQ,11763
GRANULES-EQ,11872
GENUSPOWER-EQ,11905
MEDANTA-EQ,11956
FAZE3Q-EQ,12000
ZIMLAB-EQ,12384
SAFARI-EQ,13035
360ONE-EQ,13061
REPRO-EQ,13126
EBBETF0433-EQ,13139
GSPL-EQ,13197
SUNTV-EQ,13404
TECHM-EQ,13538
GRINDWELL-EQ,13560
ATLANTAA-EQ,13585
HINDCOMPOS-EQ,1372
SKYGOLD-EQ,13631
BANKETFADD-EQ,13644
GLOBALVECT-EQ,13735
PRAENG-EQ,13941
HINDPETRO-EQ,1406
HINDOILEXP-EQ,1403
AGI-EQ,1412
PITTIENG-EQ,14134
BTML-EQ,14150
HUBTOWN-EQ,14203
TIIL-EQ,14223
HDFCBSE500-EQ,14230
GOLDETF-EQ,14286
PAGEIND-EQ,14413
GOLDBEES-EQ,14428
NAHARSPING-EQ,14440
NDLVENTURE-EQ,14547
ALPHAGEO-EQ,14597
TGBHOTELS-EQ,14607
GOACARBON-EQ,14687
AXSENSEX-EQ,14742
141NSETEST-EQ,14781
